,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,0.00,,,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,0.00,,,,,,CanESM,,,365_day,
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,,0.00,,,,,dust ss,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r2i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,dust ss,,,
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,0.00,,,,,,CanESM,,,,
CanESM5-CanOE,r3i1p2f1,0.00,-,,-,-,-,-,,,,,,,,,,dust ss,,,
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,Basic,1,2.99,,,,2.99,1.49,5.32,,,,,100.00
E3SM-1-0,r2i1p1f1,0.00,Basic,,,,,Basic,,,,,,,1.50,,,,,,
E3SM-1-0,r3i1p1f1,0.00,Basic,,,,,Basic,,,,,,,1.49,,,,,,
E3SM-1-0,r5i1p1f1,0.00,Basic,,,,,Basic,,,,,,,1.49,,,,,,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,,,,,,,,,,,,365_day,100.00
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,Basic,,,,,,,,,,,,,100.00
EC-Earth3,r1i1p1f1,1.00,AORCM,-,AORCM,AORCM,AORCM,AORCM,1,2.30,0.01,0.82,0.00,2.30,1.59,,EC-Earth,MACv2-SP approach,2222101000.00,gregorian,100.00
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,,0.00,,,,EC-Earth,,,,
EC-Earth3,r3i1p1f1,0.00,ESD,,,,,ESD,0,,0.01,,,,,,EC-Earth,,,,
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.01,,0.00,,,,EC-Earth,,,,
EC-Earth3,r5i1p1f1,0.00,RCM,RCM,RCM,RCM,RCM,RCM,0,,0.01,,,,,,EC-Earth,,,,
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,,0.00,,,,EC-Earth,,,,
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,,0.00,,,,EC-Earth,,,,
EC-Earth3,r9i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,
EC-Earth3,r10i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r11i1p1f1,0.00,RCM,,RCM,RCM,RCM,RCM,1,,,,0.00,,,,,,,,
EC-Earth3,r12i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r13i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,
EC-Earth3,r14i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r15i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,,,0.00,,,,,,,,
EC-Earth3,r16i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r17i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r18i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r19i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r20i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r21i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r22i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r23i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r24i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3,r25i1p1f1,0.00,Basic,,,Basic,,,1,,,,0.00,,,,,,,,
EC-Earth3-AerChem,r1i1p1f1,0.00,Basic,,,,ESD,,,,,,,,,,,bc dust no3 oa so4 ss,2222102000.00,,100.00
EC-Earth3-AerChem,r4i1p1f1,0.00,Basic,,,ESD,ESD,,,,,,,,,,,bc dust no3 oa so4 ss,,,
EC-Earth3-CC,r1i1p1f1,0.00,Basic,,,ESD,,ESD,,,,,,,,,,,2222221020.00,gregorian,100.00
EC-Earth3-Veg,r1i1p1f1,1.00,AORCM,AORCM,AORCM,AORCM,AORCM,AORCM,2,2.62,0.01,0.80,0.00,2.62,,4.31,EC-Earth,MACv2-SP approach,2222221000.00,gregorian,100.00
